"","","", "java-fannkuch-redux", "java-reverse-complement", "java-fasta", "java-n-body", "kotlin-converted-fannkuch-redux", "kotlin-converted-reverse-complement", "kotlin-converted-fasta", "kotlin-converted-n-body", "kotlin-idiomatic-fannkuch-redux", "kotlin-idiomatic-reverse-complement", "kotlin-idiomatic-fasta", "kotlin-idiomatic-n-body"
Implementation, "", "", "java", "java", "java", "java", "kotlin-converted", "kotlin-converted", "kotlin-converted", "kotlin-converted", "kotlin-idiomatic", "kotlin-idiomatic", "kotlin-idiomatic", "kotlin-idiomatic"
"ADD_DOUBLE""","","", 0.0, 0.0, 0.0, 0.027896995708154508, 0.0, 0.0, 0.0, 0.021172638436482084, 0.0, 0.0, 0.0, 0.021798365122615803
"ADD_DOUBLE_2ADDR""","","", 0.0, 0.0, 0.00425531914893617, 0.006437768240343348, 0.0, 0.0, 0.002352941176470588, 0.004885993485342019, 0.0, 0.0, 0.003875968992248062, 0.0
"ADD_INT""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.002793296089385475, 0.0, 0.0, 0.006097560975609756, 0.0, 0.0, 0.0
"ADD_INT_2ADDR""","","", 0.009615384615384616, 0.01444043321299639, 0.0, 0.0, 0.009174311926605505, 0.002793296089385475, 0.002352941176470588, 0.0, 0.0, 0.0, 0.0, 0.008174386920980926
"ADD_INT_LIT16""","","", 0.0, 0.0, 0.00425531914893617, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"ADD_INT_LIT8""","","", 0.10576923076923077, 0.05415162454873646, 0.05106382978723404, 0.019313304721030045, 0.10091743119266056, 0.02094972067039106, 0.03529411764705882, 0.014657980456026058, 0.07317073170731707, 0.024630541871921183, 0.02131782945736434, 0.013623978201634877
"AGET""","","", 0.07692307692307693, 0.0, 0.00851063829787234, 0.0, 0.08256880733944955, 0.0, 0.004705882352941176, 0.0, 0.042682926829268296, 0.0, 0.0, 0.0
"AGET_BYTE""","","", 0.0, 0.02888086642599278, 0.01276595744680851, 0.0, 0.0, 0.012569832402234637, 0.007058823529411765, 0.0, 0.0, 0.0, 0.0, 0.0
"AGET_CHAR""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001937984496124031, 0.0
"AGET_OBJECT""","","", 0.009615384615384616, 0.0036101083032490976, 0.00425531914893617, 0.045064377682403435, 0.009174311926605505, 0.0013966480446927375, 0.002352941176470588, 0.03420195439739414, 0.006097560975609756, 0.0049261083743842365, 0.013565891472868217, 0.02452316076294278
"AGET_WIDE""","","", 0.0, 0.0, 0.00425531914893617, 0.0, 0.0, 0.0, 0.002352941176470588, 0.0, 0.0, 0.0, 0.0, 0.0
"AND_INT_LIT8""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01907356948228883
"APUT""","","", 0.07692307692307693, 0.0, 0.00851063829787234, 0.0, 0.07339449541284404, 0.0, 0.004705882352941176, 0.0, 0.042682926829268296, 0.0, 0.0, 0.0
"APUT_BYTE""","","", 0.0, 0.018050541516245487, 0.02127659574468085, 0.0, 0.0, 0.006983240223463687, 0.05647058823529412, 0.0, 0.0, 0.0, 0.0, 0.0
"APUT_OBJECT""","","", 0.0, 0.0, 0.0, 0.015021459227467811, 0.0, 0.0, 0.0, 0.011400651465798045, 0.0, 0.0, 0.07364341085271318, 0.009536784741144414
"ARRAY_LENGTH""","","", 0.009615384615384616, 0.018050541516245487, 0.03404255319148936, 0.012875536480686695, 0.009174311926605505, 0.006983240223463687, 0.018823529411764704, 0.009771986970684038, 0.012195121951219513, 0.0, 0.009689922480620155, 0.010899182561307902
"CHECK_CAST""","","", 0.0, 0.0, 0.0, 0.0, 0.009174311926605505, 0.14106145251396648, 0.03058823529411765, 0.030944625407166124, 0.036585365853658534, 0.08374384236453201, 0.03682170542635659, 0.009536784741144414
"CMPG_FLOAT""","","", 0.0, 0.0, 0.00425531914893617, 0.0, 0.0, 0.0, 0.002352941176470588, 0.0, 0.0, 0.0, 0.0, 0.0
"CMPL_DOUBLE""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001937984496124031, 0.0
"CONST""","","", 0.0, 0.0, 0.03829787234042553, 0.0, 0.0, 0.0, 0.002352941176470588, 0.0, 0.0, 0.0, 0.001937984496124031, 0.0
"CONST_16""","","", 0.0, 0.021660649819494584, 0.05531914893617021, 0.002145922746781116, 0.0, 0.008379888268156424, 0.08235294117647059, 0.0016286644951140066, 0.03048780487804878, 0.019704433497536946, 0.09302325581395349, 0.01634877384196185
"CONST_4""","","", 0.125, 0.039711191335740074, 0.07234042553191489, 0.02575107296137339, 0.12844036697247707, 0.013966480446927373, 0.05411764705882353, 0.017915309446254073, 0.06097560975609756, 0.034482758620689655, 0.08527131782945736, 0.013623978201634877
"CONST_HIGH16""","","", 0.0, 0.007220216606498195, 0.00425531914893617, 0.0, 0.0, 0.002793296089385475, 0.004705882352941176, 0.0, 0.0, 0.0, 0.0, 0.0
"CONST_WIDE""","","", 0.0, 0.0, 0.0, 0.06652360515021459, 0.0, 0.0, 0.0, 0.050488599348534204, 0.0, 0.0, 0.03682170542635659, 0.04495912806539509
"CONST_WIDE_16""","","", 0.0, 0.0, 0.00425531914893617, 0.008583690987124463, 0.0, 0.0, 0.002352941176470588, 0.006514657980456026, 0.0, 0.0, 0.0, 0.0326975476839237
"CONST_WIDE_HIGH16""","","", 0.0, 0.0, 0.0, 0.002145922746781116, 0.0, 0.0, 0.0, 0.003257328990228013, 0.0, 0.0, 0.001937984496124031, 0.0013623978201634877
"DIV_DOUBLE""","","", 0.0, 0.0, 0.0, 0.004291845493562232, 0.0, 0.0, 0.0, 0.003257328990228013, 0.0, 0.0, 0.001937984496124031, 0.0027247956403269754
"DIV_DOUBLE_2ADDR""","","", 0.0, 0.0, 0.0, 0.006437768240343348, 0.0, 0.0, 0.0, 0.004885993485342019, 0.0, 0.0, 0.0, 0.004087193460490463
"DIV_FLOAT""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002352941176470588, 0.0, 0.0, 0.0, 0.0, 0.0
"DOUBLE_TO_FLOAT""","","", 0.0, 0.0, 0.00851063829787234, 0.0, 0.0, 0.0, 0.004705882352941176, 0.0, 0.0, 0.0, 0.0, 0.0
"FILL_ARRAY_DATA""","","", 0.0, 0.0, 0.01702127659574468, 0.0, 0.0, 0.0, 0.004705882352941176, 0.0, 0.0, 0.0, 0.0, 0.0
"FLOAT_TO_DOUBLE""","","", 0.0, 0.0, 0.00425531914893617, 0.0, 0.0, 0.0, 0.002352941176470588, 0.0, 0.0, 0.0, 0.0, 0.0
