"","","", "java-fannkuch-redux", "java-reverse-complement", "java-fasta", "java-n-body", "kotlin-converted-fannkuch-redux", "kotlin-converted-reverse-complement", "kotlin-converted-fasta", "kotlin-converted-n-body", "kotlin-idiomatic-fannkuch-redux", "kotlin-idiomatic-reverse-complement", "kotlin-idiomatic-fasta", "kotlin-idiomatic-n-body"
Implementation, "", "", "java", "java", "java", "java", "kotlin-converted", "kotlin-converted", "kotlin-converted", "kotlin-converted", "kotlin-idiomatic", "kotlin-idiomatic", "kotlin-idiomatic", "kotlin-idiomatic"
"ADD_DOUBLE ADD_INT_LIT8""","","", 0.0, 0.0, 0.0, 0.0022271714922048997, 0.0, 0.0, 0.0, 0.001763668430335097, 0.0, 0.0, 0.0, 0.002886002886002886
"ADD_DOUBLE IGET_WIDE""","","", 0.0, 0.0, 0.0, 0.0022271714922048997, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"ADD_DOUBLE INVOKE_STATIC""","","", 0.0, 0.0, 0.0, 0.0022271714922048997, 0.0, 0.0, 0.0, 0.001763668430335097, 0.0, 0.0, 0.0, 0.001443001443001443
"ADD_DOUBLE INVOKE_STATIC_RANGE""","","", 0.0, 0.0, 0.0, 0.0022271714922048997, 0.0, 0.0, 0.0, 0.001763668430335097, 0.0, 0.0, 0.0, 0.001443001443001443
"ADD_DOUBLE INVOKE_VIRTUAL""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001763668430335097, 0.0, 0.0, 0.0, 0.0
"ADD_DOUBLE INVOKE_VIRTUAL_RANGE""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002886002886002886
"ADD_DOUBLE MOVE_OBJECT_FROM16""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005291005291005291, 0.0, 0.0, 0.0, 0.004329004329004329
"ADD_DOUBLE MOVE_WIDE_FROM16""","","", 0.0, 0.0, 0.0, 0.013363028953229399, 0.0, 0.0, 0.0, 0.005291005291005291, 0.0, 0.0, 0.0, 0.004329004329004329
"ADD_DOUBLE MUL_DOUBLE""","","", 0.0, 0.0, 0.0, 0.0066815144766146995, 0.0, 0.0, 0.0, 0.005291005291005291, 0.0, 0.0, 0.0, 0.005772005772005772
"ADD_DOUBLE_2ADDR ADD_INT_LIT8""","","", 0.0, 0.0, 0.0, 0.0022271714922048997, 0.0, 0.0, 0.0, 0.001763668430335097, 0.0, 0.0, 0.0, 0.0
"ADD_DOUBLE_2ADDR IGET""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002053388090349076, 0.0
"ADD_DOUBLE_2ADDR IGET_OBJECT""","","", 0.0, 0.0, 0.004830917874396135, 0.004454342984409799, 0.0, 0.0, 0.0026666666666666666, 0.003527336860670194, 0.0, 0.0, 0.0, 0.0
"ADD_DOUBLE_2ADDR INVOKE_VIRTUAL""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002053388090349076, 0.0
"ADD_INT MOVE_FROM16""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006666666666666667, 0.0, 0.0, 0.0
"ADD_INT MOVE_OBJECT""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0031746031746031746, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"ADD_INT_2ADDR INVOKE_DIRECT""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0031746031746031746, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"ADD_INT_2ADDR MOVE_FROM16""","","", 0.010416666666666666, 0.0, 0.0, 0.0, 0.010101010101010102, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"ADD_INT_2ADDR MOVE_OBJECT""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0026666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0
"ADD_INT_2ADDR MUL_INT_LIT8""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.007215007215007215
"ADD_INT_2ADDR RETURN""","","", 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001443001443001443
"ADD_INT_2ADDR SGET_OBJECT""","","", 0.0, 0.007751937984496124, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"ADD_INT_2ADDR SPUT""","","", 0.0, 0.007751937984496124, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"ADD_INT_LIT16 CONST""","","", 0.0, 0.0, 0.004830917874396135, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"ADD_INT_LIT8 AGET""","","", 0.010416666666666666, 0.0, 0.0, 0.0, 0.010101010101010102, 0.0, 0.0, 0.0, 0.006666666666666667, 0.0, 0.0, 0.0
